student_id,student_sex,student_major,student_english_level
2026725220,male,生物技术,基础英语-人文
2026725219,male,生物技术,基础英语-人文
2026725218,male,生物技术,基础英语-人文
2026725217,male,生物技术,基础英语-人文
2026725216,male,生物技术,基础英语-人文
2026725215,female,生物技术,基础英语-人文
2026725214,male,生物技术,基础英语-人文
2026725213,female,生物技术,基础英语-EF
2026725212,male,生物技术,基础英语-EF
2026725211,female,生物技术,基础英语-人文
2026725210,male,生物技术,基础英语-人文
2026725209,female,生物技术,人文英语
2026725208,female,生物技术,人文英语
2026725206,female,生物技术,基础英语-人文
2026725205,male,生物技术,基础英语-人文
2026725204,male,生物技术,人文英语
2026725203,female,生物技术,人文英语
2026725202,male,生物技术,人文英语
2026724270,female,生物科学,人文英语
2026724269,female,生物科学,基础英语-人文
2026724268,male,生物科学,基础英语-EF
2026724267,female,生物科学,基础英语-人文
2026724266,female,生物科学,基础英语-人文
2026724265,male,生物科学,基础英语-人文
2026724264,male,生物科学,基础英语-EF
2026724263,male,生物科学,人文英语
2026724262,male,生物科学,基础英语-EF
2026724261,male,生物科学,基础英语-人文
2026724260,male,生物科学,基础英语-人文
2026724259,female,生物科学,人文英语
2026724258,female,生物科学,基础英语-人文
2026724257,female,生物科学,人文英语
2026724256,male,生物科学,基础英语-人文
2026724255,female,生物科学,人文英语
2026724254,male,生物科学,人文英语
2026724253,female,生物科学,基础英语-人文
2026724252,female,生物科学,人文英语
2026724251,female,生物科学,人文英语
2026724250,female,生物科学,基础英语-人文
2026724249,female,生物科学,基础英语-人文
2026724248,female,生物科学,基础英语-人文
2026724247,female,生物科学,人文英语
2026724246,female,生物科学,基础英语-人文
2026724245,male,生物科学,基础英语-人文
2026724244,female,生物科学,基础英语-EF
2026724242,male,生物科学,基础英语-EF
2026724241,male,生物科学,人文英语
2026724240,male,生物科学,基础英语-人文
2026724239,male,生物科学,基础英语-人文
2026724238,male,生物科学,人文英语
2026724237,male,生物科学,基础英语-人文
2026724236,male,生物科学,基础英语-人文
2026724235,female,生物科学,基础英语-EF
2026724234,female,生物科学,基础英语-人文
2026724233,female,生物科学,基础英语-EF
2026724232,male,生物科学,基础英语-EF
2026724231,female,生物科学,基础英语-人文
2026724230,male,生物科学,基础英语-人文
2026724229,female,生物科学,人文英语
2026724228,female,生物科学,基础英语-人文
2026724227,female,生物科学,人文英语
2026724226,female,生物科学,基础英语-人文
2026724225,male,生物科学,人文英语
2026724224,female,生物科学,基础英语-人文
2026724223,male,生物科学,基础英语-EF
2026724222,male,生物科学,基础英语-人文
2026724221,male,生物科学,基础英语-人文
2026724220,female,生物科学,人文英语
2026724219,female,生物科学,基础英语-人文
2026724218,male,生物科学,人文英语
2026724217,male,生物科学,人文英语
2026724216,female,生物科学,基础英语-人文
2026724215,male,生物科学,基础英语-人文
2026724214,female,生物科学,人文英语
2026724213,female,生物科学,基础英语-人文
2026724212,female,生物科学,基础英语-人文
2026724211,male,生物科学,人文英语
2026724210,male,生物科学,人文英语
2026724209,female,生物科学,人文英语
2026724208,female,生物科学,基础英语-人文
2026724207,male,生物科学,人文英语
2026724206,female,生物科学,基础英语-人文
2026724205,female,生物科学,人文英语
2026724204,female,生物科学,人文英语
2026724203,female,生物科学,人文英语
2026724202,female,生物科学,人文英语
2026774216,male,数学与应用数学,基础英语-人文
2026774215,male,数学与应用数学,基础英语-人文
2026774214,male,数学与应用数学,人文英语
2026774213,male,数学与应用数学,基础英语-EF
2026774212,male,数学与应用数学,基础英语-人文
2026774211,male,数学与应用数学,基础英语-人文
2026774210,male,数学与应用数学,基础英语-EF
2026774209,male,数学与应用数学,基础英语-人文
2026774208,male,数学与应用数学,基础英语-EF
2026774207,male,数学与应用数学,基础英语-EF
2026774206,male,数学与应用数学,基础英语-EF
2026774205,male,数学与应用数学,人文英语
2026774204,male,数学与应用数学,基础英语-人文
2026774203,male,数学与应用数学,基础英语-EF
2026774202,male,数学与应用数学,基础英语-人文
2026754223,male,工业设计-娱乐设计,基础英语-EF
2026754222,female,工业设计-娱乐设计,人文英语
2026754221,male,工业设计-娱乐设计,基础英语-人文
2026754220,male,工业设计-智能设计,人文英语
2026754219,female,工业设计-娱乐设计,基础英语-人文
2026754218,female,工业设计-智能设计,人文英语
2026754217,female,工业设计-智能设计,基础英语-人文
2026754216,female,工业设计-娱乐设计,基础英语-人文
2026754215,male,工业设计-娱乐设计,基础英语-人文
2026754214,female,工业设计-娱乐设计,人文英语
2026754213,male,工业设计-娱乐设计,人文英语
2026754212,male,工业设计-智能设计,人文英语
2026754211,female,工业设计-智能设计,基础英语-人文
2026754210,female,工业设计-娱乐设计,人文英语
2026754209,female,工业设计-智能设计,基础英语-人文
2026754208,female,数学与应用数学,基础英语-人文
2026754207,female,工业设计-娱乐设计,人文英语
2026754206,male,工业设计-智能设计,人文英语
2026754205,male,工业设计-娱乐设计,人文英语
2026754204,female,工业设计-智能设计,基础英语-人文
2026754203,male,工业设计-智能设计,人文英语
2026754202,female,工业设计-智能设计,基础英语-人文
2026736392,male,计算机科学与技术,基础英语-EF
2026736391,male,计算机科学与技术,基础英语-人文
2026736390,male,计算机科学与技术,基础英语-人文
2026736389,male,计算机科学与技术,基础英语-人文
2026736388,male,计算机科学与技术,基础英语-人文
2026736387,female,计算机科学与技术,基础英语-EF
2026736386,male,计算机科学与技术,基础英语-EF
2026736385,male,计算机科学与技术,人文英语
2026736384,female,计算机科学与技术,人文英语
2026736383,female,计算机科学与技术,人文英语
2026736382,female,计算机科学与技术,基础英语-人文
2026736381,female,计算机科学与技术,人文英语
2026736380,male,计算机科学与技术,基础英语-人文
2026736379,male,计算机科学与技术,基础英语-人文
2026736378,male,计算机科学与技术,人文英语
2026736377,male,计算机科学与技术,人文英语
2026736376,male,计算机科学与技术,基础英语-人文
2026736375,male,计算机科学与技术,基础英语-人文
2026736374,female,计算机科学与技术,基础英语-人文
2026736373,male,计算机科学与技术,基础英语-EF
2026736372,male,计算机科学与技术,基础英语-人文
2026736371,male,计算机科学与技术,基础英语-人文
2026736370,male,计算机科学与技术,基础英语-EF
2026736369,male,计算机科学与技术,基础英语-EF
2026736368,female,计算机科学与技术,基础英语-EF
2026736367,male,计算机科学与技术,基础英语-人文
2026736366,male,计算机科学与技术,基础英语-人文
2026736365,female,计算机科学与技术,人文英语
2026736364,male,计算机科学与技术,基础英语-人文
2026736363,male,计算机科学与技术,基础英语-EF
2026736362,male,计算机科学与技术,基础英语-人文
2026736361,male,计算机科学与技术,基础英语-EF
2026736360,male,计算机科学与技术,基础英语-人文
2026736359,male,计算机科学与技术,基础英语-人文
2026736358,male,计算机科学与技术,基础英语-EF
2026736357,female,计算机科学与技术,基础英语-EF
2026736356,male,计算机科学与技术,基础英语-人文
2026736355,female,计算机科学与技术,基础英语-EF
2026736354,female,计算机科学与技术,基础英语-人文
2026736353,female,计算机科学与技术,基础英语-EF
2026736352,male,计算机科学与技术,基础英语-人文
2026736351,male,计算机科学与技术,人文英语
2026736350,male,计算机科学与技术,基础英语-人文
2026736349,male,计算机科学与技术,人文英语
2026736348,male,计算机科学与技术,基础英语-人文
2026736347,male,计算机科学与技术,人文英语
2026736346,male,计算机科学与技术,人文英语
2026736345,male,计算机科学与技术,基础英语-人文
2026736344,male,计算机科学与技术,基础英语-人文
2026736343,male,计算机科学与技术,基础英语-人文
2026736342,male,计算机科学与技术,人文英语
2026736341,female,计算机科学与技术,人文英语
2026736340,male,计算机科学与技术,基础英语-人文
2026736339,male,计算机科学与技术,基础英语-人文
2026736338,male,计算机科学与技术,基础英语-人文
2026736337,male,计算机科学与技术,基础英语-人文
2026736336,male,计算机科学与技术,人文英语
2026736335,male,计算机科学与技术,人文英语
2026736334,male,计算机科学与技术,基础英语-人文
2026736333,female,计算机科学与技术,人文英语
2026736332,male,计算机科学与技术,人文英语
2026736331,female,计算机科学与技术,基础英语-人文
2026736330,female,计算机科学与技术,基础英语-EF
2026736329,male,计算机科学与技术,人文英语
2026736328,male,计算机科学与技术,基础英语-人文
2026736327,male,计算机科学与技术,基础英语-人文
2026736326,male,计算机科学与技术,人文英语
2026736325,male,计算机科学与技术,基础英语-人文
2026736324,male,计算机科学与技术,基础英语-人文
2026736323,male,计算机科学与技术,人文英语
2026736322,male,计算机科学与技术,基础英语-EF
2026736321,male,计算机科学与技术,人文英语
2026736320,male,计算机科学与技术,基础英语-人文
2026736319,male,计算机科学与技术,基础英语-人文
2026736318,male,计算机科学与技术,基础英语-人文
2026736317,male,计算机科学与技术,基础英语-人文
2026736316,female,计算机科学与技术,人文英语
2026736315,female,计算机科学与技术,基础英语-人文
2026736314,male,计算机科学与技术,基础英语-EF
2026736313,male,计算机科学与技术,基础英语-EF
2026736312,male,计算机科学与技术,人文英语
2026736311,male,计算机科学与技术,基础英语-EF
2026736310,male,计算机科学与技术,基础英语-人文
2026736309,female,计算机科学与技术,基础英语-人文
2026736308,male,计算机科学与技术,基础英语-人文
2026736307,male,计算机科学与技术,基础英语-人文
2026736306,male,计算机科学与技术,基础英语-人文
2026736305,male,计算机科学与技术,基础英语-人文
2026736304,female,计算机科学与技术,基础英语-人文
2026736303,male,计算机科学与技术,基础英语-EF
2026736302,male,计算机科学与技术,基础英语-EF
2026736301,male,数学与应用数学,基础英语-EF
2026736300,male,计算机科学与技术,基础英语-人文
2026736299,male,计算机科学与技术,基础英语-EF
2026736298,female,计算机科学与技术,基础英语-人文
2026736297,male,计算机科学与技术,基础英语-人文
2026736296,male,计算机科学与技术,基础英语-人文
2026736295,female,计算机科学与技术,基础英语-EF
2026736294,female,计算机科学与技术,基础英语-人文
2026736293,female,计算机科学与技术,基础英语-人文
2026736292,male,计算机科学与技术,基础英语-EF
2026736291,male,计算机科学与技术,基础英语-人文
2026736290,male,计算机科学与技术,基础英语-人文
2026736289,male,计算机科学与技术,人文英语
2026736288,male,计算机科学与技术,基础英语-EF
2026736287,female,工业设计-智能设计,基础英语-人文
2026736286,male,计算机科学与技术,基础英语-人文
2026736285,male,计算机科学与技术,基础英语-EF
2026736284,male,计算机科学与技术,基础英语-EF
2026736283,male,计算机科学与技术,人文英语
2026736282,male,计算机科学与技术,人文英语
2026736281,male,计算机科学与技术,基础英语-人文
2026736280,female,计算机科学与技术,人文英语
2026736279,male,计算机科学与技术,基础英语-人文
2026736278,male,计算机科学与技术,人文英语
2026736277,male,工业设计-智能设计,基础英语-人文
2026736276,male,计算机科学与技术,基础英语-EF
2026736275,male,计算机科学与技术,基础英语-人文
2026736274,male,计算机科学与技术,人文英语
2026736273,female,计算机科学与技术,人文英语
2026736272,male,计算机科学与技术,基础英语-人文
2026736271,male,计算机科学与技术,基础英语-人文
2026736270,female,计算机科学与技术,基础英语-人文
2026736269,male,计算机科学与技术,人文英语
2026736268,male,计算机科学与技术,基础英语-人文
2026736267,male,计算机科学与技术,人文英语
2026736266,male,计算机科学与技术,人文英语
2026736265,male,数学与应用数学,基础英语-EF
2026736264,male,计算机科学与技术,人文英语
2026736263,female,计算机科学与技术,人文英语
2026736262,male,计算机科学与技术,基础英语-人文
2026736261,male,计算机科学与技术,人文英语
2026736260,male,计算机科学与技术,人文英语
2026736259,male,计算机科学与技术,基础英语-人文
2026736258,male,计算机科学与技术,人文英语
2026736257,male,计算机科学与技术,人文英语
2026736256,male,计算机科学与技术,人文英语
2026736255,male,计算机科学与技术,基础英语-人文
2026736254,male,计算机科学与技术,人文英语
2026736253,female,计算机科学与技术,基础英语-人文
2026736252,male,计算机科学与技术,人文英语
2026736251,male,计算机科学与技术,人文英语
2026736250,male,数学与应用数学,基础英语-人文
2026736249,male,计算机科学与技术,基础英语-人文
2026736248,female,计算机科学与技术,基础英语-人文
2026736247,female,数学与应用数学,人文英语
2026736246,male,数学与应用数学,基础英语-人文
2026736245,male,计算机科学与技术,人文英语
2026736244,female,计算机科学与技术,基础英语-人文
2026736243,female,计算机科学与技术,基础英语-人文
2026736242,male,计算机科学与技术,人文英语
2026736241,female,计算机科学与技术,基础英语-人文
2026736240,male,计算机科学与技术,基础英语-人文
2026736239,male,计算机科学与技术,人文英语
2026736238,male,计算机科学与技术,基础英语-人文
2026736237,male,计算机科学与技术,人文英语
2026736236,female,计算机科学与技术,人文英语
2026736235,male,计算机科学与技术,基础英语-人文
2026736234,female,计算机科学与技术,人文英语
2026736233,female,计算机科学与技术,人文英语
2026736232,male,计算机科学与技术,基础英语-人文
2026736231,male,计算机科学与技术,人文英语
2026736230,male,计算机科学与技术,人文英语
2026736229,male,计算机科学与技术,基础英语-人文
2026736228,male,计算机科学与技术,基础英语-人文
2026736227,male,计算机科学与技术,人文英语
2026736226,male,计算机科学与技术,人文英语
2026736225,male,计算机科学与技术,基础英语-人文
2026736224,male,计算机科学与技术,基础英语-人文
2026736223,female,计算机科学与技术,基础英语-人文
2026736222,male,计算机科学与技术,基础英语-人文
2026736221,female,计算机科学与技术,人文英语
2026736220,female,计算机科学与技术,人文英语
2026736219,male,计算机科学与技术,人文英语
2026736218,female,计算机科学与技术,基础英语-人文
2026736217,male,计算机科学与技术,人文英语
2026736216,male,计算机科学与技术,人文英语
2026736215,male,计算机科学与技术,人文英语
2026736214,female,计算机科学与技术,人文英语
2026736213,female,计算机科学与技术,人文英语
2026736212,male,计算机科学与技术,基础英语-人文
2026736210,male,计算机科学与技术,人文英语
2026736209,male,计算机科学与技术,人文英语
2026736208,male,计算机科学与技术,基础英语-人文
2026736207,male,计算机科学与技术,人文英语
2026736206,male,计算机科学与技术,人文英语
2026736205,male,计算机科学与技术,基础英语-人文
2026736204,male,计算机科学与技术,人文英语
2026736203,male,计算机科学与技术,基础英语-人文
2026736202,male,计算机科学与技术,人文英语
2026734289,male,电子信息工程,基础英语-EF
2026734288,male,电子信息工程,基础英语-人文
2026734287,female,电子信息工程,基础英语-人文
2026734286,male,电子信息工程,基础英语-人文
2026734285,female,电子信息工程,基础英语-人文
2026734284,male,电子信息工程,基础英语-人文
2026734283,male,电子信息工程,基础英语-EF
2026734282,male,电子信息工程,基础英语-人文
2026734281,male,电子信息工程,基础英语-EF
2026734280,female,电子信息工程,基础英语-人文
2026734279,male,电子信息工程,基础英语-EF
2026734278,female,电子信息工程,基础英语-人文
2026734277,male,电子信息工程,人文英语
2026734276,male,电子信息工程,人文英语
2026734275,male,电子信息工程,基础英语-人文
2026734274,male,电子信息工程,基础英语-人文
2026734273,male,电子信息工程,人文英语
2026734272,male,电子信息工程,人文英语
2026734271,male,电子信息工程,基础英语-EF
2026734270,female,电子信息工程,人文英语
2026734269,female,电子信息工程,基础英语-人文
2026734268,male,电子信息工程,基础英语-EF
2026734267,male,电子信息工程,人文英语
2026734266,male,电子信息工程,基础英语-人文
2026734265,male,电子信息工程,基础英语-EF
2026734264,male,电子信息工程,基础英语-人文
2026734263,male,电子信息工程,基础英语-人文
2026734262,male,电子信息工程,基础英语-人文
2026734261,male,电子信息工程,基础英语-EF
2026734260,male,电子信息工程,基础英语-人文
2026734259,male,电子信息工程,基础英语-人文
2026734258,male,电子信息工程,人文英语
2026734257,male,电子信息工程,基础英语-人文
2026734256,female,电子信息工程,基础英语-人文
2026734255,female,电子信息工程,人文英语
2026734254,male,电子信息工程,人文英语
2026734253,male,电子信息工程,基础英语-EF
2026734252,male,电子信息工程,基础英语-人文
2026734251,male,电子信息工程,基础英语-人文
2026734250,male,电子信息工程,基础英语-人文
2026734249,male,电子信息工程,基础英语-EF
2026734248,male,电子信息工程,基础英语-EF
2026734247,male,电子信息工程,基础英语-人文
2026734246,male,电子信息工程,人文英语
2026734245,male,电子信息工程,基础英语-人文
2026734244,male,电子信息工程,基础英语-人文
2026734243,female,电子信息工程,基础英语-人文
2026734242,male,电子信息工程,基础英语-人文
2026734241,male,电子信息工程,基础英语-EF
2026734240,male,电子信息工程,基础英语-EF
2026734239,male,电子信息工程,基础英语-人文
2026734238,male,电子信息工程,人文英语
2026734237,male,电子信息工程,基础英语-人文
2026734236,male,电子信息工程,人文英语
2026734235,male,电子信息工程,基础英语-人文
2026734234,male,电子信息工程,基础英语-人文
2026734233,male,电子信息工程,基础英语-人文
2026734232,female,电子信息工程,基础英语-人文
2026734231,male,电子信息工程,基础英语-人文
2026734230,male,电子信息工程,基础英语-人文
2026734229,female,电子信息工程,人文英语
2026734228,female,电子信息工程,人文英语
2026734227,male,电子信息工程,人文英语
2026734226,female,电子信息工程,人文英语
2026734225,male,电子信息工程,人文英语
2026734224,male,电子信息工程,基础英语-EF
2026734223,male,电子信息工程,人文英语
2026734222,male,电子信息工程,人文英语
2026734221,male,电子信息工程,基础英语-人文
2026734220,male,电子信息工程,基础英语-EF
2026734219,male,电子信息工程,基础英语-EF
2026734218,female,电子信息工程,人文英语
2026734217,male,电子信息工程,基础英语-人文
2026734216,male,电子信息工程,人文英语
2026734215,female,电子信息工程,人文英语
2026734214,male,电子信息工程,人文英语
2026734213,female,电子信息工程,基础英语-人文
2026734212,female,电子信息工程,基础英语-人文
2026734211,male,电子信息工程,基础英语-人文
2026734210,male,电子信息工程,人文英语
2026734209,male,电子信息工程,基础英语-人文
2026734208,male,电子信息工程,人文英语
2026734207,male,电子信息工程,基础英语-人文
2026734206,male,电子信息工程,人文英语
2026734205,male,电子信息工程,基础英语-人文
2026734204,male,电子信息工程,人文英语
2026734203,male,电子信息工程,人文英语
2026734202,male,电子信息工程,基础英语-人文
2026716221,male,材料科学与工程,基础英语-人文
2026716220,male,材料科学与工程,基础英语-EF
2026716219,male,化学,基础英语-人文
2026716218,male,材料科学与工程,基础英语-人文
2026716217,female,材料科学与工程,人文英语
2026716216,female,材料科学与工程,基础英语-人文
2026716215,male,材料科学与工程,基础英语-EF
2026716214,male,材料科学与工程,基础英语-EF
2026716213,male,材料科学与工程,基础英语-EF
2026716212,male,材料科学与工程,基础英语-人文
2026716211,male,材料科学与工程,基础英语-人文
2026716210,female,材料科学与工程,人文英语
2026716209,male,材料科学与工程,基础英语-人文
2026716208,female,材料科学与工程,基础英语-人文
2026716207,male,材料科学与工程,基础英语-人文
2026716206,female,材料科学与工程,人文英语
2026716205,female,材料科学与工程,基础英语-人文
2026716204,male,材料科学与工程,基础英语-人文
2026716203,male,材料科学与工程,人文英语
2026716202,male,材料科学与工程,人文英语
2026715209,male,化学,基础英语-人文
2026715208,male,化学,基础英语-EF
2026715207,male,化学,基础英语-人文
2026715206,male,化学,基础英语-EF
2026715205,male,化学,基础英语-EF
2026715204,male,化学,基础英语-人文
2026715203,male,化学,基础英语-人文
2026715202,male,化学,基础英语-人文
